Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),8,,,,,,1,54,93,95,103,125,158,207,152,104,122,125,131,219,296,201,127,32
Laborable,Ida,[35] Londres (L5-25-33-40),8,,,,,,,22,50,46,59,68,99,132,80,58,66,67,72,103,133,94,52,48
Laborable,Ida,[36] La Perla,2,,,,,,,3,4,5,7,9,18,24,14,8,8,11,14,18,24,21,9,14
Laborable,Ida,[55] Matia,,,,,,,,1,4,4,7,8,11,18,15,5,4,4,7,12,11,4,1,4
Laborable,Ida,[54] Benta Berri,0,,,,,,,1,4,4,7,11,15,18,9,4,5,4,5,9,6,4,1,1
Laborable,Ida,[53] R.M. Azkue,,,,,,,,1,2,2,3,5,7,6,3,2,1,3,3,5,3,2,1,0
Laborable,Ida,[52] Zarautz 60,,,,,,,,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,,
Laborable,Ida,[51] Zarautz 90,,,,,,,,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0
Laborable,Ida,[269] Avda Zarauz 122,,,,,,,,,,0,1,,1,0,0,0,0,0,1,1,1,0,,
Laborable,Vuelta,[47] Errotaburu 5,1,,,,,,,7,26,56,57,79,55,55,43,40,51,66,56,43,29,16,18,3
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),1,,,,,,,3,13,17,27,23,15,14,14,19,18,24,22,19,15,11,5,2
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),2,,,,,,,6,15,33,36,47,35,31,23,29,43,54,59,40,29,21,11,4
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),1,,,,,,,2,8,19,28,37,31,25,24,21,28,43,45,34,25,25,21,6
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),1,,,,,,,7,25,40,55,81,62,48,39,42,63,100,91,75,62,43,14,4
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),1,,,,,,,4,20,37,50,61,56,39,35,34,49,80,93,76,57,44,15,5
Laborable,Vuelta,[41] Esklabak (L5-25-35),1,,,,,,,4,15,30,37,53,47,32,30,33,43,55,63,61,35,26,9,2
Laborable,Vuelta,[40] Ondarreta (L5-25 ),2,,,,,,,4,10,26,36,48,58,52,39,28,46,63,86,90,65,43,13,8
Laborable,Vuelta,[39] San Martin 57,,,,,,,,,1,4,3,5,6,7,5,3,4,4,5,4,4,5,5,5
