Tipo de d’a,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sabado,Vuelta,[362] Errekalde,,,,,,,,,2,2,4,2,3,1,0,1,5,2,3,1,1,0,1,
Sabado,Vuelta,[363] Cincuentenario II,,,,,,,,,,,,,,,,,,1,,,,21,,
Sabado,Vuelta,[364] A–orga II,22,,,,,,,1,4,8,9,10,5,5,2,8,11,10,7,8,8,2,1,1
Sabado,Vuelta,[365] A–orga Txiki II,,,,,,,,,,0,,0,,,0,,,,,1,,,,
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),5,,,,,,,1,5,6,4,5,7,5,2,2,6,2,8,3,6,1,0,5
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),5,,,,,,,2,5,4,7,8,14,7,5,3,12,5,10,7,19,2,3,10
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),3,,,,,,,1,1,3,13,6,22,5,6,0,7,7,4,10,7,2,6,17
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),7,,,,,,,2,9,7,17,14,14,7,3,2,20,11,16,15,9,6,5,5
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),4,,,,,,,1,3,7,10,11,8,4,4,6,11,7,8,14,10,5,4,11
Sabado,Vuelta,[41] Esklabak (L5-25-35),2,,,,,,,0,5,6,7,14,11,8,4,4,8,10,6,14,6,5,2,10
Sabado,Vuelta,[40] Ondarreta (L5-25 ),5,,,,,,,1,4,4,6,10,13,10,3,3,10,8,6,8,4,10,5,8
Sabado,Vuelta,[39] San Martin 57,,,,,,,,,,1,1,1,1,2,0,0,,0,0,1,0,,,
Sabado,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,0,6,1,1,2,2,0,1,1,1,1,1,2,1,,
Sabado,Vuelta,[37] Okendo 5,,,,,,,,,,0,0,3,2,2,7,,4,1,2,,3,1,,
Dom. y Fest.,Ida,[34] Boulevard 17 (L5-25),,,,,,,,,8,,11,12,12,62,32,15,11,12,17,35,39,48,9,
Dom. y Fest.,Ida,[35] Londres (L5-25-33-40),,,,,,,,,3,,7,10,9,25,13,5,12,11,47,68,20,31,10,
Dom. y Fest.,Ida,[36] La Perla,,,,,,,,,,,0,1,2,2,4,,1,2,1,3,4,2,0,
Dom. y Fest.,Ida,[239] Zumalakarregi 10(L25-33-35-40),,,,,,,,,,0,,2,1,2,1,,,0,1,1,1,1,,
Dom. y Fest.,Ida,[240] Antig Anbul (L25-27-33-35-40),,,,,,,,,,,1,1,2,1,1,1,1,,1,1,0,2,,
Dom. y Fest.,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,,,,,0,0,2,0,,,1,,,,1,1,,
Dom. y Fest.,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,,,,,1,0,,1,,,,,1,,1,,
Dom. y Fest.,Ida,[278] Tolosa 112,,,,,,,,,,,1,,1,,,0,0,0,1,,1,0,,
Dom. y Fest.,Ida,[50] Tolosa 138,,,,,,,,,,,,,1,,0,0,1,,1,2,,1,0,
Dom. y Fest.,Ida,[279] Infierno,,,,,,,,,,,,,,,,,0,,,,,,,
Dom. y Fest.,Ida,[354] A–orga I,,,,,,,,,,,,,0,,,,,,,0,,,,
Dom. y Fest.,Ida,[358] Irubide ,,,,,,,,,,,,,,,,0,0,,,,,,,
Dom. y Fest.,Ida,[359] Belartza 2,,,,,,,,,,,,,,1,,,,,,,,,,
Dom. y Fest.,Ida,[360] Rotonda Belartza,,,,,,,,,,1,2,1,1,,,0,2,1,1,,,,,
Dom. y Fest.,Ida,[361] Belartza,,,,,,,,,,,,0,,,,,1,,,,,,,
Dom. y Fest.,Vuelta,[287] Errekalde II,,,,,,,,,,,2,,1,,8,4,2,3,17,1,13,1,,
Dom. y Fest.,Vuelta,[362] Errekalde,,,,,,,,,,1,2,2,3,3,0,2,2,6,,,3,,0,
Dom. y Fest.,Vuelta,[363] Cincuentenario II,,,,,,,,,,,,,,,,,,,,,,0,,
Dom. y Fest.,Vuelta,[364] A–orga II,,,,,,,,,,1,3,11,8,4,3,3,8,11,3,7,1,1,1,
Dom. y Fest.,Vuelta,[365] A–orga Txiki II,,,,,,,,,,,,,,,,,0,,,,,0,,
Dom. y Fest.,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,,,2,4,6,3,4,2,3,6,5,4,1,4,2,1,
Dom. y Fest.,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,,,2,5,9,13,4,1,4,12,12,4,5,2,2,1,1
Dom. y Fest.,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,,,1,2,6,6,3,4,3,6,12,8,5,4,1,,
Dom. y Fest.,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,,,2,10,8,11,6,3,3,19,26,7,9,8,5,2,1
Dom. y Fest.,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,,,2,4,7,6,9,1,4,6,15,5,9,5,4,1,
Dom. y Fest.,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,,,2,5,4,7,7,5,1,8,10,5,4,2,3,2,
Dom. y Fest.,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,,,,2,3,6,12,5,6,3,7,10,5,7,5,3,2,
Dom. y Fest.,Vuelta,[39] San Martin 57,,,,,,,,,,,0,1,9,,,,15,7,0,,,,,
Dom. y Fest.,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,,,0,0,1,2,,1,0,0,1,1,1,1,1,
Dom. y Fest.,Vuelta,[37] Okendo 5,,,,,,,,,,1,,0,,2,,1,0,,,0,2,15,,
