Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),,,,,,,16,53,56,44,42,43,43,41,40,40,36,37,33,40,38,56,17,10
Laborable,Ida,[35] Londres (L5-25-33-40),2,,,,,,4,23,29,29,26,31,31,34,29,25,23,29,28,32,28,19,15,1
Laborable,Ida,[36] La Perla,0,,,,,,1,2,6,5,3,3,4,2,4,5,4,5,3,4,3,2,1,
Laborable,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,2,1,2,1,2,2,4,3,2,2,3,4,4,3,1,0,0,
Laborable,Ida,[240] Antig Anbul (L25-27-33-35-40),,,,,,,0,2,4,4,4,5,7,7,3,5,3,5,5,4,2,2,0,
Laborable,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,,2,2,2,1,4,3,3,4,2,6,2,5,3,2,0,0,
Laborable,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,1,2,1,3,2,4,7,9,4,8,6,3,2,3,1,0,
Laborable,Ida,[278] Tolosa 112,,,,,,,,,1,1,0,1,2,2,0,1,2,1,2,1,2,0,1,0
Laborable,Ida,[50] Tolosa 138,,,,,,,1,0,0,0,0,0,1,1,1,1,1,3,2,1,0,1,0,0
Laborable,Ida,[279] Infierno,,,,,,,,,,,,0,,,,,,,0,,,,,
Laborable,Ida,[353] A–orga Txiki I,,,,,,,,,0,0,0,0,4,0,0,1,,0,1,0,,0,,
Laborable,Ida,[354] A–orga I,,,,,,,,,0,0,0,,,,,,,0,0,,0,,,
Laborable,Ida,[355] Cincuentenario I,,,,,,,,,,,,0,,,,,,,,,,,,
Laborable,Ida,[356] Errekalde Topo,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,
Laborable,Ida,[358] Irubide ,,,,,,,,2,0,0,1,0,0,0,0,0,,0,1,,,,0,
Laborable,Ida,[359] Belartza 2,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0,
Laborable,Ida,[360] Rotonda Belartza,,,,,,,0,5,5,5,3,3,4,6,4,6,5,8,7,5,1,1,0,
Laborable,Ida,[361] Belartza,,,,,,,,,0,0,1,3,4,2,2,2,3,4,6,5,3,2,0,
Laborable,Vuelta,[287] Errekalde II,,,,,,,1,4,1,0,8,3,4,3,1,1,2,2,5,2,2,0,,
Laborable,Vuelta,[362] Errekalde,,,,,,,,7,5,6,6,2,2,2,1,2,3,4,2,2,1,,0,
Laborable,Vuelta,[363] Cincuentenario II,,,,,,,,,0,,,,,,,,0,0,,,,,1,
Laborable,Vuelta,[364] A–orga Txiki,,,,,,,1,37,20,21,23,11,6,8,10,9,18,17,13,10,8,6,1,0
Laborable,Vuelta,[365] A–orga Txiki II,,,,,,,,1,0,,1,0,0,,0,0,1,0,0,0,,,3,
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,4,13,8,7,5,4,3,2,3,8,4,6,6,4,3,1,2,0
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,2,10,9,9,9,9,6,9,6,6,10,13,13,10,8,3,1,0
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,0,8,6,8,9,10,14,18,15,8,17,17,18,20,11,4,1,0
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,3,32,16,14,16,18,20,19,14,18,21,22,20,17,9,7,4,2
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,2,19,12,13,15,14,8,9,8,12,10,13,12,12,9,4,3,1
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,1,12,13,12,8,13,8,7,7,9,11,11,11,9,5,4,2,1
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,3,8,7,6,7,8,6,6,5,5,8,11,8,11,5,3,5,1
Laborable,Vuelta,[39] San Martin 57,,,,,,,,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,,0
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,
Laborable,Vuelta,[37] Okendo 5,,,,,,,,0,1,2,1,2,3,1,1,1,2,2,2,2,2,1,0,
Sabado,Ida,[34] Boulevard 17 (L5-25),55,,,,,,0,15,13,17,29,40,54,73,39,31,42,34,36,70,65,70,26,51
Sabado,Ida,[35] Londres (L5-25-33-40),13,,,,,,,3,15,9,10,25,21,51,29,16,17,20,22,32,52,33,18,9
Sabado,Ida,[36] La Perla,1,,,,,,,2,4,3,1,2,1,2,6,2,3,1,4,3,11,4,6,6
