Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sabado,Vuelta,[362] Errekalde,,,,,,,,,1,3,5,3,2,0,2,1,4,3,1,3,3,,0,0
Sabado,Vuelta,[364] A–orga II,1,,,,,,,1,5,10,9,9,5,6,3,4,12,11,10,8,4,3,0,2
Sabado,Vuelta,[365] A–orga Txiki II,,,,,,,,,,0,,,,,0,,,0,,0,,,0,
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),1,,,,,,,,4,3,4,4,4,3,2,2,6,3,5,5,6,2,2,5
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),1,,,,,,,1,5,7,6,13,10,6,2,4,8,15,7,9,7,5,4,7
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),1,,,,,,,1,1,3,4,10,8,3,2,2,5,5,8,9,7,2,3,7
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),6,,,,,,,2,9,5,10,12,9,11,7,5,10,24,20,16,10,3,3,14
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),1,,,,,,,1,4,5,9,6,11,8,5,5,7,14,12,12,10,6,5,4
Sabado,Vuelta,[41] Esklabak (L5-25-35),3,,,,,,,2,3,7,5,13,7,8,5,7,7,9,14,11,6,4,3,7
Sabado,Vuelta,[40] Ondarreta (L5-25 ),1,,,,,,,1,3,6,4,8,8,10,5,10,8,15,17,21,12,3,3,4
Sabado,Vuelta,[39] San Martin 57,,,,,,,,1,,0,0,1,1,1,0,0,1,1,1,1,1,0,,
Sabado,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,0,,0,1,3,1,1,1,0,1,2,2,2,0,,0
Sabado,Vuelta,[37] Okendo 5,,,,,,,,,,1,1,0,1,2,1,1,1,1,2,2,4,1,,
Dom. y Fest.,Ida,[34] Boulevard 17 (L5-25),4,,,,,,,,8,,13,19,33,42,44,29,19,28,32,41,51,52,17,18
Dom. y Fest.,Ida,[35] Londres (L5-25-33-40),2,,,,,,,,3,,5,8,15,14,8,5,8,11,10,16,23,24,9,4
Dom. y Fest.,Ida,[36] La Perla,,,,,,,,,,,1,1,3,3,2,2,1,1,3,3,2,1,2,1
Dom. y Fest.,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,,,,,1,0,2,1,1,0,1,1,0,2,1,0,1,
Dom. y Fest.,Ida,[240] Antig Anbul (L25-27-33-35-40),,,,,,,,,,,0,1,2,3,1,0,,1,0,0,1,0,,
