Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),6,,,,,,1,127,193,184,157,142,167,161,122,118,107,116,135,157,140,76,56,0
Laborable,Ida,[35] Londres (L5-25-33-40),,,,,,,,54,132,98,78,90,101,120,93,80,76,74,91,111,103,52,18,4
Laborable,Ida,[36] La Perla,,,,,,,,4,21,19,9,11,15,24,16,15,10,23,11,19,12,7,3,1
Laborable,Ida,[55] Matia,,,,,,,,,,6,5,10,9,10,6,5,6,5,8,8,8,3,0,0
Laborable,Ida,[54] Benta Berri,,,,,,,,1,,4,9,12,19,17,6,7,5,5,8,11,6,2,1,0
Laborable,Ida,[53] R.M. Azkue,,,,,,,0,,,2,3,5,6,7,3,3,2,11,6,5,5,2,2,1
Laborable,Ida,[52] Zarautz 60,,,,,,,,,,1,2,1,0,1,1,1,0,1,1,1,1,0,,
Laborable,Ida,[51] Zarautz 90,,,,,,,,,,0,1,1,1,1,1,1,1,0,0,0,0,,0,
Laborable,Ida,[269] Avda Zarauz 122,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,,
Laborable,Vuelta,[47] Errotaburu 5,,,,,,,1,16,43,50,81,55,42,50,52,61,60,58,58,36,22,7,2,1
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,8,22,17,15,13,15,11,13,19,19,21,19,12,11,4,1,1
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,10,23,33,34,35,32,30,24,27,37,43,50,35,22,11,2,1
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,3,19,26,37,46,65,70,71,44,69,81,66,57,39,11,3,3
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,13,39,46,55,67,69,62,69,63,78,90,80,52,39,29,6,3
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,9,36,41,49,51,39,30,33,42,43,49,49,39,29,20,6,3
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,6,24,38,37,40,38,27,31,35,35,48,41,31,17,21,4,1
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,,6,16,24,28,33,35,29,19,23,30,41,46,40,23,16,6,1
Laborable,Vuelta,[39] San Martin 57,,,,,,,,0,2,4,4,3,6,4,4,3,4,4,2,4,3,2,0,
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,3,4,4,6,10,6,3,2,4,6,9,10,5,2,0,
Laborable,Vuelta,[37] Okendo 5,,,,,,,,1,5,6,8,9,12,10,8,6,9,7,10,11,10,2,0,1
Sabado,Ida,[34] Boulevard 17 (L5-25),68,,,,,,9,15,40,47,53,83,124,158,107,66,80,65,94,176,219,204,144,
Sabado,Ida,[35] Londres (L5-25-33-40),,,,,,,4,8,12,34,38,52,82,137,79,35,50,53,92,111,146,95,36,14
Sabado,Ida,[36] La Perla,,,,,,,3,0,2,5,2,11,12,14,12,5,9,9,6,14,17,22,8,6
Sabado,Ida,[55] Matia,,,,,,,,,2,3,3,6,7,8,7,0,1,1,1,7,7,4,1,
Sabado,Ida,[54] Benta Berri,,,,,,,0,,,2,4,9,14,12,8,3,2,3,3,7,5,1,2,
Sabado,Ida,[53] R.M. Azkue,,,,,,,,,0,0,,3,3,3,2,1,0,0,2,1,4,1,,
Sabado,Ida,[52] Zarautz 60,,,,,,,,,,0,0,,,0,0,1,0,,,,,,,
Sabado,Ida,[51] Zarautz 90,,,,,,,1,,,,,,,,,1,,0,1,,,0,,
Sabado,Ida,[269] Avda Zarauz 122,,,,,,,,,,,,,,,,,0,,,,,,,
Sabado,Vuelta,[47] Errotaburu 5,,,,,,,1,2,9,12,33,38,27,24,7,14,29,43,32,17,15,7,1,1
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,1,5,9,14,14,17,11,6,5,15,12,18,20,20,12,5,1
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,1,4,8,16,28,44,39,24,12,18,33,38,33,31,25,17,5,0
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,1,1,4,6,17,25,27,23,11,12,26,43,32,23,25,7,6,1
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,1,2,14,25,53,77,69,37,32,32,65,61,58,55,50,33,19,4
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,2,6,24,43,54,58,35,25,26,39,53,60,53,48,47,12,5
Sabado,Vuelta,[41] Esklabak (L5-25-35),,,,,,,0,3,10,18,25,42,47,31,24,19,31,40,45,46,30,34,8,4
Sabado,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,1,1,7,20,28,34,49,32,27,21,39,38,49,61,54,44,20,6
Sabado,Vuelta,[39] San Martin 57,,,,,,,,,0,1,2,3,5,2,4,1,1,4,2,2,3,1,1,
Sabado,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,0,1,1,3,9,6,3,1,2,3,4,6,10,7,2,
Sabado,Vuelta,[37] Okendo 5,,,,,,,,,1,2,2,6,9,7,5,3,4,4,17,14,17,8,2,
Dom. y Fest.,Ida,[34] Boulevard 17 (L5-25),1,,,,,,,9,10,30,23,47,65,142,102,58,84,66,75,108,127,97,59,
