Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),5,,,,,,14,62,59,45,41,42,47,48,49,35,34,37,39,37,34,44,17,2
Laborable,Ida,[35] Londres (L5-25-33-40),1,,,,,,5,24,38,28,30,28,32,37,32,29,24,30,26,29,23,19,16,2
Laborable,Ida,[36] La Perla,,,,,,,2,1,4,3,3,3,4,6,6,11,4,4,2,3,2,4,1,0
Laborable,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,2,2,3,3,1,3,4,1,1,3,2,5,3,2,1,0,0,
Laborable,Ida,[240] Antig Anbul (L25-27-33-35-40),,,,,,,0,1,1,3,4,6,8,5,4,6,4,5,5,4,2,2,1,
Laborable,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,0,1,1,2,2,3,6,4,8,4,5,4,4,3,2,1,0,0
Laborable,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,1,1,1,3,2,4,6,9,2,16,3,4,3,2,2,0,
Laborable,Ida,[278] Tolosa 112,0,,,,,,,,1,0,1,0,1,1,2,2,2,1,2,2,2,0,1,0
Laborable,Ida,[50] Tolosa 138,,,,,,,0,,0,1,0,0,1,1,1,1,1,2,3,2,1,0,0,
Laborable,Ida,[279] Infierno,,,,,,,,,,0,,0,,,,,,,,,,,,
Laborable,Ida,[353] A–orga Txiki I,,,,,,,,0,,0,0,0,1,0,0,0,1,0,0,,,,,0
Laborable,Ida,[354] A–orga I,,,,,,,,,,,0,,,0,,0,,1,0,,0,,,
Laborable,Ida,[355] Cincuentenario I,,,,,,,,,0,,,,,,,,,,,,,,,
Laborable,Ida,[356] Errekalde Topo,,,,,,,,,,0,,0,0,0,1,0,0,1,0,0,,,,
Laborable,Ida,[358] Irubide ,,,,,,,,,0,0,1,0,,0,0,0,0,0,,,0,,,
Laborable,Ida,[359] Belartza 2,,,,,,,,,0,0,0,0,1,1,0,1,1,1,2,1,1,1,0,
Laborable,Ida,[360] Rotonda Belartza,,,,,,,,4,4,4,4,4,4,5,3,6,6,6,6,3,2,0,0,
Laborable,Ida,[361] Belartza,,,,,,,,0,0,0,1,2,3,4,3,3,3,3,6,6,3,1,0,
Laborable,Vuelta,[287] Errekalde II,,,,,,,1,1,0,0,2,4,2,3,2,1,2,2,8,1,1,2,0,
Laborable,Vuelta,[362] Errekalde,,,,,,,,8,6,7,5,4,2,2,1,2,4,4,2,2,1,,,0
Laborable,Vuelta,[363] Cincuentenario II,,,,,,,,0,,0,,0,,0,0,0,0,0,0,,0,0,,
Laborable,Vuelta,[364] A–orga Txiki,,,,,,,,39,25,18,18,11,6,8,6,8,18,15,15,7,6,4,1,
Laborable,Vuelta,[365] A–orga Txiki II,,,,,,,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,3,11,6,7,5,5,3,3,3,7,5,7,5,4,4,3,1,
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,1,14,6,7,9,9,8,9,7,8,14,12,15,15,10,3,1,1
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,1,8,7,7,12,17,18,20,18,12,24,23,21,23,16,5,3,0
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,4,29,15,13,18,17,18,17,15,19,24,20,19,22,13,8,4,2
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,2,27,11,10,11,12,11,7,9,10,14,12,13,10,6,6,5,1
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,1,12,10,9,10,9,8,7,7,9,12,17,11,9,5,3,2,0
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,4,11,6,4,6,7,7,7,5,4,5,9,12,10,5,3,2,0
Laborable,Vuelta,[39] San Martin 57,,,,,,,,1,0,1,1,1,3,1,1,1,1,1,1,2,1,0,,
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,1,2,1,3,4,2,1,1,2,1,3,2,1,1,0,0
Laborable,Vuelta,[37] Okendo 5,,,,,,,,0,1,1,1,2,2,3,2,2,1,2,1,2,2,1,0,
Sabado,Ida,[34] Boulevard 17 (L5-25),59,,,,,,,16,10,18,38,45,47,67,56,34,42,34,49,70,88,67,47,54
Sabado,Ida,[35] Londres (L5-25-33-40),15,,,,,,,2,9,7,14,16,36,40,36,16,15,24,34,44,45,33,26,15
Sabado,Ida,[36] La Perla,4,,,,,,,2,1,,4,3,4,5,6,3,5,3,9,8,4,3,5,4
Sabado,Ida,[239] Zumalakarregi 10(L25-33-35-40),1,,,,,,,,,1,2,3,2,2,2,,4,2,3,1,2,1,0,0
Sabado,Ida,[240] Antig Anbul (L25-27-33-35-40),0,,,,,,,,0,0,3,3,2,4,4,2,3,3,1,1,1,3,,1
Sabado,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,,0,,0,3,1,1,2,,1,2,2,0,1,3,0,1,1
Sabado,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,,0,1,2,2,2,1,2,2,1,1,1,0,2,1,0,
Sabado,Ida,[278] Tolosa 112,,,,,,,,,,0,1,0,1,1,1,,1,0,1,0,,,0,
Sabado,Ida,[50] Tolosa 138,,,,,,,,,,,0,4,1,1,1,0,2,2,0,,1,1,,
Sabado,Ida,[279] Infierno,,,,,,,,,,,,,,,,,,,,,0,4,,
Sabado,Ida,[353] A–orga Txiki I,,,,,,,,,,,,1,0,1,,1,,,,1,1,,,
Sabado,Ida,[354] A–orga I,,,,,,,,,,,,,,1,,,,1,,,,,,
Sabado,Ida,[356] Errekalde Topo,,,,,,,,,,,,1,1,,,,,1,,,,,,
Sabado,Ida,[358] Irubide ,,,,,,,,,,1,0,,,,,,,,,0,,,,
Sabado,Ida,[359] Belartza 2,,,,,,,,,,1,0,2,2,2,1,,1,3,1,5,1,1,2,
Sabado,Ida,[360] Rotonda Belartza,,,,,,,,3,1,3,0,2,6,8,2,4,9,10,2,7,1,0,,
Sabado,Ida,[361] Belartza,,,,,,,,,,,1,4,8,6,15,5,9,11,11,6,7,2,,
Sabado,Vuelta,[287] Errekalde II,,,,,,,,,,0,,10,,2,2,,2,20,6,7,3,,,2
Sabado,Vuelta,[362] Errekalde,,,,,,,,1,2,4,2,3,2,1,0,2,2,4,3,1,1,2,,
Sabado,Vuelta,[363] Cincuentenario II,,,,,,,,,,,,,,,,,,1,,,,,,
Sabado,Vuelta,[364] A–orga Txiki,3,,,,,,,1,3,9,12,12,12,7,3,5,11,8,7,6,7,3,1,2
Sabado,Vuelta,[365] A–orga Txiki II,,,,,,,,,,1,,,,,,,1,,,,,,,1
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),5,,,,,,,1,4,5,8,3,10,9,3,3,5,9,5,6,4,4,1,3
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),5,,,,,,,1,4,6,7,10,19,6,5,5,6,10,12,6,11,3,1,6
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),5,,,,,,,1,1,4,8,8,7,7,8,2,6,10,8,9,14,5,2,6
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),3,,,,,,,4,8,13,12,16,17,12,7,7,18,21,11,12,8,7,5,7
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),7,,,,,,,2,3,13,7,13,14,13,7,5,12,15,20,12,12,8,4,8
Sabado,Vuelta,[41] Esklabak (L5-25-35),1,,,,,,,3,4,11,16,16,16,8,9,6,4,14,12,14,6,6,2,4
