Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),9,,,,,,17,32,39,32,31,37,54,63,47,34,38,34,36,47,39,60,35,54
Laborable,Ida,[35] Londres (L5-25-33-40),5,,,,,,6,17,24,21,24,23,40,35,26,23,25,21,25,32,24,18,19,9
Laborable,Ida,[36] La Perla,2,,,,,,1,2,3,1,2,2,8,6,4,4,3,3,3,4,4,4,5,2
Laborable,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,1,1,1,2,2,5,18,11,4,3,3,5,3,5,6,3,1,0
Laborable,Ida,[240] Antig Anbul (L25-27-33-35-40),0,,,,,,0,3,3,3,4,5,11,6,4,4,3,3,3,4,3,2,1,0
Laborable,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,,1,0,9,7,3,7,5,3,2,2,3,2,2,2,1,0,0
Laborable,Ida,[277] Unibertsitatea Tol.70 I,0,,,,,,0,1,2,1,3,2,3,3,3,2,1,2,1,1,1,2,,0
Laborable,Ida,[278] Tolosa 112,,,,,,,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
Laborable,Ida,[50] Tolosa 138,,,,,,,0,0,0,2,1,1,1,0,1,0,2,3,2,0,0,0,0,0
Laborable,Ida,[279] Infierno,,,,,,,,,,,0,0,,0,,,,,0,,,,,
Laborable,Ida,[353] A–orga Txiki I,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,
Laborable,Ida,[354] A–orga I,0,,,,,,,,,,0,4,0,0,0,,,0,0,0,1,0,0,
Laborable,Ida,[355] Cincuentenario I,,,,,,,,,,,,,,,0,,,,,,,,,
Laborable,Ida,[356] Errekalde Topo,,,,,,,,,,0,0,0,0,0,1,,0,0,0,0,0,0,,
Laborable,Ida,[358] Irubide ,,,,,,,,,0,0,1,0,0,,0,0,,0,0,,,0,0,
Laborable,Ida,[359] Belartza 2,,,,,,,,,,,0,1,1,1,1,1,0,0,1,1,0,1,0,
Laborable,Ida,[360] Rotonda Belartza,,,,,,,0,1,5,5,5,3,4,5,4,5,7,6,8,4,1,1,,
Laborable,Ida,[361] Belartza,,,,,,,,0,0,0,2,3,5,5,5,3,4,5,9,7,5,3,0,0
Laborable,Vuelta,[287] Errekalde II,,,,,,,0,2,0,2,25,5,4,4,22,1,1,6,21,5,1,0,,
Laborable,Vuelta,[362] Errekalde,0,,,,,,0,1,6,8,6,5,2,2,2,3,7,5,3,2,2,0,0,
