Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),62,,,0,,,6,144,196,157,174,142,150,155,120,125,118,135,143,162,126,83,65,
Laborable,Ida,[35] Londres (L5-25-33-40),,,,,,,,95,120,110,84,92,105,128,87,82,79,78,91,118,89,46,19,4
Laborable,Ida,[36] La Perla,,,,,,,,5,19,20,12,12,17,23,12,13,11,28,9,15,11,8,2,2
Laborable,Ida,[55] Matia,,,,,,,,,0,5,6,9,8,9,4,5,5,6,7,9,8,3,1,0
Laborable,Ida,[54] Benta Berri,,,,,,,,,0,5,8,13,16,16,5,7,4,5,10,12,6,2,0,0
Laborable,Ida,[53] R.M. Azkue,,,,,,,,,,3,4,4,6,9,5,5,3,3,5,6,2,1,0,0
Laborable,Ida,[52] Zarautz 60,,,,,,,,,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,
Laborable,Ida,[51] Zarautz 90,,,,,,,,,,0,1,1,1,1,1,1,0,0,0,0,,,,
Laborable,Ida,[269] Avda Zarauz 122,,,,,,,,,,0,,0,0,,,0,0,0,,0,,,,
Laborable,Vuelta,[47] Errotaburu 5,,,,,,,0,13,41,49,45,51,43,43,47,49,42,53,56,36,18,9,2,1
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,8,26,21,16,14,15,12,14,21,13,14,13,13,10,4,1,0
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,10,26,40,39,38,31,34,21,23,34,43,48,35,24,8,2,1
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,4,16,26,44,50,68,76,73,46,62,78,61,57,35,12,2,2
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,13,51,50,66,68,74,66,69,66,74,81,75,58,43,23,6,2
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,9,35,41,53,50,43,29,35,42,39,45,48,42,32,21,7,3
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,7,28,39,37,41,42,27,34,41,40,49,44,33,22,21,4,2
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,,5,17,27,30,32,37,29,20,23,27,36,43,37,23,15,5,1
Laborable,Vuelta,[39] San Martin 57,,,,,,,,1,1,5,3,4,11,11,3,3,4,4,2,3,2,1,0,
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,3,3,7,7,9,6,2,2,4,5,7,8,6,2,1,
Laborable,Vuelta,[37] Okendo 5,,,,,,,,1,5,7,6,9,13,8,5,7,10,5,9,10,5,2,1,
Sabado,Ida,[34] Boulevard 17 (L5-25),,,,,,,10,24,42,44,60,89,119,185,110,94,99,84,109,180,223,219,155,
Sabado,Ida,[35] Londres (L5-25-33-40),,,,,,,2,9,29,33,35,54,61,106,63,24,38,50,46,99,107,72,42,5
Sabado,Ida,[36] La Perla,,,,,,,6,1,2,5,3,1,7,13,10,5,8,5,7,12,17,11,8,3
Sabado,Ida,[55] Matia,,,,,,,,0,1,4,3,4,4,7,11,3,2,2,2,4,8,3,0,1
Sabado,Ida,[54] Benta Berri,,,,,,,,,0,1,5,10,11,9,5,2,1,0,1,3,6,1,,
Sabado,Ida,[53] R.M. Azkue,,,,,,,,,0,0,1,3,3,1,4,,4,2,0,4,3,2,0,0
Sabado,Ida,[52] Zarautz 60,,,,,,,,,,,,,,,1,,,1,,,0,1,,
Sabado,Ida,[51] Zarautz 90,,,,,,,,,0,0,0,,,,,,,0,1,,41,,,
Sabado,Ida,[269] Avda Zarauz 122,,,,,,,1,,,,0,0,,,0,0,10,0,,,,,,
Sabado,Vuelta,[47] Errotaburu 5,,,,,,,2,1,15,29,32,61,56,16,15,23,47,106,36,56,36,19,16,0
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,3,7,7,12,15,12,10,6,12,9,16,15,17,18,4,2,
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,0,5,43,15,22,37,36,16,23,14,28,32,30,27,27,15,6,
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,1,2,5,8,20,48,24,20,21,13,13,48,27,24,22,12,8,
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,1,2,14,16,63,69,47,33,26,19,49,46,60,59,61,37,9,
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,1,2,6,17,45,58,54,18,19,19,34,44,50,43,36,46,10,3
Sabado,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,4,4,13,22,43,37,23,21,17,40,24,37,41,35,34,10,3
Sabado,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,0,1,6,18,13,48,68,44,21,21,31,34,49,54,50,32,15,1
Sabado,Vuelta,[39] San Martin 57,,,,,,,,,0,2,1,2,2,2,4,1,1,2,1,3,3,2,1,
Sabado,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,,0,2,4,2,8,2,4,2,4,2,5,3,3,1,
Sabado,Vuelta,[37] Okendo 5,,,,,,,,,,1,3,3,5,4,3,2,4,6,4,7,8,3,1,
Dom. y Fest.,Ida,[34] Boulevard 17 (L5-25),20,,,,,,,10,7,25,30,45,45,93,82,49,74,61,83,134,120,92,66,
Dom. y Fest.,Ida,[35] Londres (L5-25-33-40),,,,,,,,1,10,23,15,16,32,61,32,27,30,39,26,62,71,52,33,5
Dom. y Fest.,Ida,[36] La Perla,,,,,,,,2,1,2,1,6,7,13,10,5,7,5,7,5,13,7,1,1
Dom. y Fest.,Ida,[55] Matia,,,,,,,,0,,2,2,3,2,9,8,2,2,1,4,3,4,3,,
Dom. y Fest.,Ida,[54] Benta Berri,,,,,,,,,,1,2,1,2,2,1,1,1,1,2,3,1,1,1,
Dom. y Fest.,Ida,[53] R.M. Azkue,,,,,,,,,,1,2,0,1,3,0,1,1,1,0,1,3,,1,
Dom. y Fest.,Ida,[52] Zarautz 60,,,,,,,,,,,,0,,1,1,,,,0,,0,,,
