Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),,,,,,,1,137,208,153,142,139,152,162,139,126,120,118,135,174,136,79,55,
Laborable,Ida,[35] Londres (L5-25-33-40),,,,,,,1,56,134,99,86,96,102,126,94,79,72,85,97,111,97,50,18,4
Laborable,Ida,[36] La Perla,,,,,,,0,6,20,18,10,12,15,30,15,14,10,21,12,15,11,7,2,1
Laborable,Ida,[55] Matia,,,,,,,,,,5,6,9,10,9,6,5,5,8,9,11,7,3,1,
Laborable,Ida,[54] Benta Berri,,,,,,,44,,,5,10,13,19,17,6,7,4,7,10,13,9,3,0,0
Laborable,Ida,[53] R.M. Azkue,,,,,,,,,,3,8,6,5,8,3,5,3,4,7,4,3,2,0,
Laborable,Ida,[52] Zarautz 60,,,,,,,,,,3,3,3,1,3,3,10,0,2,0,0,1,,,
Laborable,Ida,[51] Zarautz 90,,,,,,,,,,0,2,1,1,2,1,2,1,0,0,0,0,0,,
Laborable,Ida,[269] Avda Zarauz 122,,,,,,,,,,1,0,0,1,0,1,1,0,1,1,0,0,,0,
Laborable,Vuelta,[47] Errotaburu 5,,,,,,,,18,40,53,46,62,41,58,53,45,52,90,60,47,23,11,1,1
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,8,23,19,15,14,13,14,12,19,13,17,16,12,11,4,1,0
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,9,23,32,34,31,33,28,24,26,37,47,50,38,21,10,2,1
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,3,17,22,36,52,72,92,74,44,71,89,72,54,39,12,3,5
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,15,44,47,53,64,79,72,69,66,81,80,74,63,40,23,6,3
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,10,34,40,47,51,47,33,28,41,48,55,49,42,27,19,4,2
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,,8,29,39,36,42,40,30,30,40,38,49,40,36,18,19,4,1
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,,7,15,25,28,32,37,29,21,23,32,42,48,40,23,16,3,2
Laborable,Vuelta,[39] San Martin 57,,,,,,,,0,2,4,3,4,5,4,3,3,4,3,3,3,2,2,0,
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,3,4,5,6,10,7,4,3,3,5,7,8,5,3,0,
Laborable,Vuelta,[37] Okendo 5,,,,,,,,1,6,6,8,9,12,11,7,5,6,8,10,12,7,2,1,
Sabado,Ida,[34] Boulevard 17 (L5-25),12,,,,,,15,16,43,60,53,84,134,205,139,55,84,77,120,196,237,174,132,
Sabado,Ida,[35] Londres (L5-25-33-40),,,,,,,2,12,13,31,28,41,84,147,79,32,43,40,78,106,124,78,35,12
Sabado,Ida,[36] La Perla,,,,,,,1,0,1,4,6,4,5,11,8,5,4,3,9,9,12,14,6,4
Sabado,Ida,[55] Matia,,,,,,,0,,1,1,1,6,4,8,5,2,1,1,3,6,4,2,1,
Sabado,Ida,[54] Benta Berri,,,,,,,0,,,11,3,7,10,9,6,2,3,1,3,4,3,1,1,0
Sabado,Ida,[53] R.M. Azkue,,,,,,,,3,7,0,4,3,5,2,1,1,1,4,1,3,3,4,,1
Sabado,Ida,[52] Zarautz 60,,,,,,,,12,,31,23,0,10,0,,,,2,,35,0,10,,
Sabado,Ida,[51] Zarautz 90,,,,,,,,,1,0,2,1,,0,,,0,2,1,1,1,0,,
Sabado,Ida,[269] Avda Zarauz 122,,,,,,,,,,,,,1,0,,0,0,,,,,0,,
Sabado,Vuelta,[47] Errotaburu 5,,,,,,,2,15,22,28,38,54,43,18,16,67,46,44,45,73,29,9,4,1
Sabado,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,0,2,6,6,14,9,16,10,7,8,12,15,15,11,14,7,3,0
Sabado,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,1,3,8,14,21,39,36,23,9,14,22,34,31,26,18,13,4,
Sabado,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,0,0,3,5,18,36,61,29,10,7,22,29,25,23,14,15,7,2
Sabado,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,1,3,12,23,45,71,62,37,27,19,56,47,64,51,56,41,14,3
Sabado,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,1,1,7,20,37,47,52,32,21,22,32,42,72,50,41,35,10,2
Sabado,Vuelta,[41] Esklabak (L5-25-35),,,,,,,0,0,10,16,25,40,41,28,18,14,24,30,40,30,24,32,8,1
Sabado,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,0,1,10,11,26,39,41,41,27,14,26,31,44,45,45,35,7,4
Sabado,Vuelta,[39] San Martin 57,,,,,,,,,0,1,2,2,3,3,1,0,1,12,1,3,0,0,0,
Sabado,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,,,1,1,4,8,7,2,0,1,5,4,35,10,5,1,
Sabado,Vuelta,[37] Okendo 5,,,,,,,,,1,2,3,5,7,6,4,2,1,3,8,11,7,6,3,
Dom. y Fest.,Ida,[34] Boulevard 17 (L5-25),,,,,,,4,10,7,22,27,55,87,130,102,77,86,81,97,129,170,95,71,
Dom. y Fest.,Ida,[35] Londres (L5-25-33-40),,,,,,,,2,4,7,11,11,40,42,33,19,22,37,30,56,63,43,22,5
Dom. y Fest.,Ida,[36] La Perla,,,,,,,,2,2,2,1,3,5,9,9,3,7,4,11,13,8,4,3,1
Dom. y Fest.,Ida,[55] Matia,,,,,,,,,,2,1,2,4,8,6,1,1,1,3,4,3,2,0,
Dom. y Fest.,Ida,[54] Benta Berri,,,,,,,,,0,,0,1,2,2,2,0,1,1,2,2,3,1,0,0
Dom. y Fest.,Ida,[53] R.M. Azkue,,,,,,,,,,0,0,1,1,2,2,1,0,,0,1,1,2,0,1
Dom. y Fest.,Ida,[52] Zarautz 60,,,,,,,,,,,,,,,,,1,,0,0,,,,
Dom. y Fest.,Ida,[51] Zarautz 90,,,,,,,,0,,,,1,1,0,0,0,,0,,1,,,,
Dom. y Fest.,Ida,[269] Avda Zarauz 122,,,,,,,,,,,,0,,,,,,,,0,1,,,
Dom. y Fest.,Vuelta,[47] Errotaburu 5,,,,,,,,6,17,21,30,30,23,25,12,12,33,62,43,27,18,24,3,4
Dom. y Fest.,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,,1,1,2,8,8,7,14,2,5,3,10,9,7,6,2,0,0
Dom. y Fest.,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,,1,1,4,7,17,20,15,8,3,13,16,14,12,11,6,2,1
Dom. y Fest.,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,,0,0,1,6,11,13,13,6,4,15,10,13,9,4,5,5,1
Dom. y Fest.,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,,1,2,6,13,20,27,19,19,15,22,28,25,22,16,14,2,2
Dom. y Fest.,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,,1,1,5,11,21,24,15,16,8,15,22,36,27,22,17,3,1
